----
8,6
29,8
30,4
31,3
32,1
33,7
34,0
34,5
34,9
34,14
34,16
36,10
36,11
36,12
37,15
38,13
40,2
40,17
40,18
----
7,5
8,19
17,15
18,14
23,13
26,2
26,3
29,16
31,7
34,6
34,10
35,4
35,9
36,0
36,1
36,8
36,11
37,17
39,18
----
52,18
54,3
61,7
62,4
62,5
64,6
64,13
65,1
65,2
65,14
66,10
66,11
66,19
67,8
68,0
72,15
74,9
74,16
75,17
----
23,5
23,15
26,10
29,4
31,1
32,16
33,0
33,19
35,3
35,18
38,8
38,9
38,12
39,13
40,7
40,11
42,17
----
35,5
36,0
37,2
37,4
37,9
38,16
39,10
39,11
40,12
40,15
42,17
46,19
55,8
57,7
64,1
64,18
65,6
65,13
67,14
----
24,1
29,5
30,3
31,9
32,14
33,8
33,10
33,13
34,4
34,19
35,2
35,17
36,6
38,7
40,15
40,16
----
5,10
5,16
6,4
7,5
7,12
8,6
8,14
10,2
25,3
25,8
28,13
32,1
34,7
35,9
36,11
37,17
38,19
----
11,6
16,16
20,1
27,4
29,2
29,17
32,10
32,14
32,19
33,13
33,18
34,5
34,11
35,7
35,15
36,8
36,9
----
18,4
29,1
33,6
34,10
35,2
35,9
35,14
35,18
36,8
36,12
37,3
37,15
38,0
39,7
39,11
39,13
40,19
41,5
47,16
----
8,1
9,8
10,5
10,19
11,7
11,17
18,2
21,0
22,6
33,10
35,14
36,4
37,11
37,13
38,15
----
6,7
7,19
13,17
28,14
28,15
28,18
29,3
29,5
31,0
31,16
32,8
33,13
34,2
34,10
35,4
35,11
35,12
36,1
36,9
----
11,8
25,10
27,2
30,4
30,6
30,15
30,16
31,3
31,12
31,19
33,11
33,13
33,14
33,17
35,0
35,1
36,9
37,5
40,18
----
9,2
9,5
9,12
9,15
10,16
13,8
14,17
16,7
21,4
27,1
35,10
36,0
36,14
36,18
37,9
37,19
----
7,2
23,0
30,13
33,12
35,4
35,5
36,1
36,8
36,9
37,6
37,11
38,15
38,17
38,18
38,19
39,16
41,7
41,10
----
20,10
23,5
27,4
32,1
32,7
33,6
34,3
35,0
35,9
36,17
36,18
37,12
38,11
38,14
38,15
38,16
39,8
39,13
41,19
----
8,4
9,9
12,0
12,6
13,17
14,2
14,8
15,14
16,18
19,13
21,15
27,5
27,19
28,11
29,7
31,3
36,16
----
29,1
29,5
30,13
32,0
32,18
34,11
34,14
34,16
34,17
34,19
36,2
36,3
36,4
37,6
39,7
39,9
40,10
40,12
41,8
----
7,3
7,18
14,7
16,13
17,0
17,11
18,8
19,9
22,6
23,15
25,14
30,12
31,4
31,10
33,1
33,2
33,16
33,17
33,19
----
28,6
28,11
30,5
30,16
31,4
31,14
32,1
32,10
34,0
34,18
37,3
37,8
37,17
38,19
40,2
40,9
40,12
40,15
42,7
----
7,1
9,10
26,8
28,3
28,14
29,11
30,19
32,12
33,0
35,2
35,6
35,9
37,5
38,15
38,16
38,17
38,18
40,13
41,7
----
27,5
28,1
28,4
28,12
29,7
30,8
30,19
31,16
32,3
32,9
35,2
35,11
36,10
36,14
37,6
37,13
37,15
37,17
37,18
----
20,11
24,16
26,0
27,15
31,4
31,6
31,12
32,8
33,13
34,3
35,1
37,9
37,17
38,14
39,18
42,19
----
21,7
29,19
30,4
32,6
33,12
35,9
36,10
36,11
36,17
38,15
----
20,15
28,7
33,13
33,16
34,0
34,6
35,1
35,3
36,2
36,4
36,19
37,9
39,8
39,10
39,11
39,12
40,14
42,17
----
11,3
12,8
12,14
13,10
20,11
22,6
25,18
27,5
28,16
29,1
29,15
31,2
32,13
32,17
33,0
33,7
33,12
34,9
35,4
----
34,0
36,1
37,2
37,5
39,15
41,18
41,19
57,6
61,16
64,3
64,9
64,11
65,8
66,12
67,17
68,4
68,7
68,10
70,13
----
7,6
7,9
8,17
9,15
12,19
13,5
16,18
21,1
22,0
25,10
28,12
30,13
35,8
37,14
39,3
----
11,14
12,1
13,0
13,5
21,10
21,15
30,17
32,3
33,7
33,16
33,18
35,2
36,8
37,4
37,6
37,9
37,13
38,19
----
8,14
9,1
9,19
10,0
12,15
13,4
14,18
25,9
30,8
32,5
33,2
33,11
35,3
35,10
35,12
35,13
36,6
36,16
----
24,2
25,13
28,4
28,7
28,16
29,19
30,0
32,6
33,9
33,10
34,3
34,11
34,17
35,8
35,14
35,18
37,5
41,15
