12,15
13,18
20,13
22,0
33,12
36,8
38,16
52,9
66,11
68,7
71,5
80,19
22,4
25,1
32,9
34,11
44,16
45,13
59,15
60,12
69,10
80,2
5,8
21,15
21,19
33,6
38,13
39,10
46,11
59,12
73,3
75,4
76,9
10,14
11,1
13,18
15,8
33,19
34,3
35,7
37,0
39,10
40,9
41,16
68,4
76,2
5,10
31,16
64,9
74,8
76,1
81,2
7,3
7,7
7,10
7,12
8,2
8,6
8,8
8,14
9,16
10,9
10,18
33,1
33,4
33,13
34,5
35,19
38,11
46,0
56,17
10,0
12,18
13,16
32,9
34,19
38,14
41,5
42,6
51,2
74,15
82,11
8,16
9,9
9,10
9,15
10,8
11,3
11,7
11,11
11,12
11,13
15,6
18,0
25,5
33,18
34,2
35,14
53,19
66,17
87,4
9,8
10,10
10,12
10,13
11,9
12,11
14,16
18,4
24,14
62,19
67,1
68,6
71,2
88,0
3,12
4,3
5,2
5,8
6,1
8,6
11,5
11,13
11,14
12,19
13,4
13,16
13,18
14,11
14,17
17,10
18,9
29,15
32,7
62,0
8,0
8,4
11,10
13,2
14,5
15,13
16,18
28,8
33,3
33,15
34,17
41,1
49,16
57,11
58,9
58,19
65,7
68,14
6,0
6,16
10,9
10,15
13,4
13,12
13,19
17,5
22,18
29,11
35,6
49,2
61,7
78,13
8,6
8,7
23,9
36,19
37,4
40,3
41,14
43,0
45,13
54,10
63,17
67,1
70,12
80,15
4,1
5,17
7,7
7,14
8,19
9,2
13,0
29,6
29,9
30,4
33,5
38,15
42,13
68,3
71,11
73,10
6,6
7,3
7,15
9,8
9,18
12,5
12,19
19,9
20,12
30,10
35,11
37,4
38,16
39,0
40,14
40,17
41,2
43,1
67,7
4,3
11,4
11,10
12,2
12,9
13,6
13,11
18,19
19,13
32,0
41,1
56,17
62,5
63,18
6,0
7,13
7,14
35,5
43,2
52,17
65,6
79,7
84,12
3,8
3,17
3,19
5,2
5,5
5,14
6,3
6,4
6,9
6,11
7,6
12,7
30,0
31,12
32,1
32,10
33,13
33,16
34,15
35,18
10,8
16,10
17,3
39,4
39,16
42,13
42,14
60,9
70,2
71,15
77,19
14,10
22,7
23,18
31,19
33,8
42,12
45,1
48,0
52,16
75,9
88,17
13,4
17,2
17,13
20,6
20,9
25,10
30,19
35,5
38,11
41,3
42,16
80,18
6,7
7,1
7,13
8,3
8,8
8,19
9,5
9,17
10,15
15,4
17,9
22,18
30,16
35,14
46,2
55,10
64,6
13,13
15,11
15,12
18,7
18,16
19,18
34,6
38,2
38,17
56,15
66,3
66,9
67,5
69,8
77,0
79,14
6,3
6,8
6,11
6,12
7,6
7,10
7,16
7,17
8,13
8,18
10,4
14,19
17,2
23,5
31,9
32,7
32,15
33,14
59,1
84,0
41,2
41,10
42,5
43,15
52,4
66,19
5,9
6,2
6,5
6,15
7,4
39,13
41,11
55,16
68,12
76,8
27,0
37,11
74,19
76,8
88,1
21,3
25,11
34,10
35,16
43,2
44,6
45,4
81,0
8,9
8,13
8,15
13,14
14,12
16,17
20,5
24,11
35,3
39,4
40,7
43,2
54,8
72,0
74,19
84,1
18,4
27,19
68,3
68,14
74,0
78,17
87,15
